host_response_time,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,security_deposit,cleaning_fee,guests_included,number_of_reviews,review_scores_rating,cancellation_policy,reviews_per_month,price
within an hour,FALSE,Centrum-West,Apartment,Entire home/apt,4,2.5,2,4,Real Bed,0,100,4,46,93,strict_14_with_grace_period,0.53,260
within an hour,TRUE,Centrum-West,Apartment,Entire home/apt,3,2.5,3,5,Real Bed,250,65,2,129,97,strict_14_with_grace_period,1.45,275
within a day,FALSE,Zuid,House,Entire home/apt,5,1.5,3,3,Real Bed,300,75,3,21,93,strict_14_with_grace_period,0.24,250
within a few hours,TRUE,Bos en Lommer,Apartment,Entire home/apt,2,1,2,1,Real Bed,0,20,1,15,93,strict_14_with_grace_period,0.17,65
within a day,TRUE,Centrum-Oost,Apartment,Entire home/apt,2,1,1,1,Real Bed,500,40,2,24,95,strict_14_with_grace_period,0.27,300
within an hour,TRUE,Centrum-Oost,Apartment,Private room,2,1.5,1,4,Real Bed,0,30,2,195,93,moderate,2.47,82
within a few hours,FALSE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,175,40,1,116,92,moderate,1.3,109
within an hour,TRUE,De Baarsjes - Oud-West,Bed and breakfast,Hotel room,2,1,1,1,Real Bed,0,0,2,187,97,moderate,2.2,119
a few days or more,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,20,2,51,97,strict_14_with_grace_period,0.66,140
within a day,FALSE,Zuid,Boat,Entire home/apt,4,1,2,2,Real Bed,500,0,4,99,97,flexible,1.11,150
within a few hours,TRUE,Oostelijk Havengebied - Indische Buurt,House,Entire home/apt,4,2,3,3,Real Bed,250,70,4,32,91,moderate,0.37,165
within a day,FALSE,Centrum-West,Apartment,Entire home/apt,2,1.5,2,3,Real Bed,200,40,2,10,100,strict_14_with_grace_period,1.24,159
within a day,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,4,1,2,2,Real Bed,0,50,2,108,99,strict_14_with_grace_period,1.23,250
