host_response_time,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,security_deposit,cleaning_fee,guests_included,number_of_reviews,review_scores_rating,cancellation_policy,reviews_per_month,price
N/A,FALSE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,6,1,2,3,Real Bed,250,40,1,21,90,moderate,1.59,250
N/A,FALSE,Oostelijk Havengebied - Indische Buurt,Houseboat,Entire home/apt,4,1,1,3,Real Bed,300,0,1,4,90,moderate,0.28,350
within an hour,FALSE,Noord-Oost,Boat,Private room,2,1.5,1,0,Real Bed,0,0,1,84,97,strict_14_with_grace_period,5.97,98
within an hour,FALSE,De Pijp - Rivierenbuurt,Apartment,Private room,3,1,1,3,Real Bed,150,15,1,95,97,strict_14_with_grace_period,6.83,200
within a day,FALSE,IJburg - Zeeburgereiland,Villa,Entire home/apt,6,2.5,4,4,Real Bed,0,0,1,4,100,strict_14_with_grace_period,0.3,325
within a day,TRUE,Zuid,Apartment,Private room,2,1,1,1,Real Bed,0,5,1,4,70,flexible,0.28,70
N/A,FALSE,Watergraafsmeer,House,Entire home/apt,4,1,3,5,Real Bed,300,20,1,3,100,strict_14_with_grace_period,0.22,200
within a few hours,FALSE,Westerpark,House,Private room,2,1,2,1,Real Bed,450,20,2,11,100,strict_14_with_grace_period,0.73,99
N/A,FALSE,Geuzenveld - Slotermeer,House,Entire home/apt,4,1,3,3,Real Bed,0,45,1,3,100,flexible,0.21,155
within an hour,FALSE,Centrum-West,Apartment,Entire home/apt,4,1,2,2,Real Bed,100,50,1,23,88,strict_14_with_grace_period,1.61,300
within an hour,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,45,1,12,85,strict_14_with_grace_period,0.84,69
within a day,TRUE,De Pijp - Rivierenbuurt,Apartment,Private room,2,1,1,1,Real Bed,0,0,1,3,87,flexible,0.2,75
within an hour,FALSE,Noord-West,Apartment,Entire home/apt,4,1,2,3,Real Bed,0,45,4,15,95,strict_14_with_grace_period,1.06,96
within an hour,TRUE,Centrum-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,35,1,15,96,moderate,1.02,185
N/A,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,4,1,2,2,Real Bed,200,60,2,8,88,flexible,0.59,140
within a day,FALSE,Zuid,House,Entire home/apt,7,2,5,6,Real Bed,0,0,1,6,96,flexible,0.4,400
within a few hours,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,30,1,13,97,strict_14_with_grace_period,0.93,100
within a day,FALSE,Bos en Lommer,Apartment,Entire home/apt,4,1,2,2,Real Bed,0,45,1,8,100,strict_14_with_grace_period,0.54,200
within a day,FALSE,Bos en Lommer,Apartment,Private room,1,1,1,2,Real Bed,350,35,1,2,100,strict_14_with_grace_period,0.14,60
within an hour,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,2,Real Bed,0,40,1,13,100,moderate,0.88,120
N/A,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,250,20,1,2,100,moderate,0.15,150
N/A,TRUE,De Baarsjes - Oud-West,House,Entire home/apt,4,1,2,2,Real Bed,0,60,2,6,97,strict_14_with_grace_period,0.4,180
within an hour,FALSE,Centrum-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,200,30,2,13,100,strict_14_with_grace_period,0.89,140
within a few hours,FALSE,IJburg - Zeeburgereiland,Apartment,Entire home/apt,2,1,1,1,Real Bed,250,60,1,7,94,moderate,0.49,110
within a day,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,500,40,1,1,100,strict_14_with_grace_period,0.07,145
within an hour,FALSE,Centrum-West,Boat,Entire home/apt,3,1,2,2,Real Bed,100,55,1,3,90,strict_14_with_grace_period,0.22,120
within an hour,FALSE,Bos en Lommer,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,0,1,6,100,moderate,0.41,180
within an hour,FALSE,Oud-Noord,Apartment,Entire home/apt,4,1,4,4,Real Bed,100,65,1,8,93,moderate,0.58,158
a few days or more,FALSE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,350,20,2,27,97,moderate,1.9,200
within a few hours,TRUE,Watergraafsmeer,Houseboat,Private room,2,1,1,1,Real Bed,0,25,1,40,95,moderate,2.7,90
within an hour,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,2,Real Bed,0,25,1,90,99,strict_14_with_grace_period,6.12,130
within a day,TRUE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,30,1,16,99,moderate,1.16,200
within an hour,FALSE,Oud-Oost,Apartment,Entire home/apt,4,1,2,2,Real Bed,150,0,1,4,90,flexible,2.26,250
within an hour,FALSE,Bijlmer-Centrum,Bed and breakfast,Private room,2,1,1,1,Real Bed,0,0,1,126,95,flexible,8.29,47
N/A,FALSE,Westerpark,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,0,0,1,5,100,flexible,0.36,125
N/A,FALSE,Oud-Noord,House,Entire home/apt,4,1,3,3,Real Bed,250,80,1,1,100,moderate,0.07,125
within a few hours,TRUE,Zuid,Apartment,Private room,2,1,1,1,Real Bed,0,40,1,4,95,moderate,1.64,80
within an hour,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,40,1,9,100,strict_14_with_grace_period,0.63,180
within an hour,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,30,1,4,95,moderate,1.03,125
within an hour,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,35,1,19,99,moderate,1.35,185
N/A,FALSE,Zuid,Apartment,Entire home/apt,2,1,1,2,Real Bed,500,36,1,1,100,strict_14_with_grace_period,0.08,125
N/A,FALSE,Geuzenveld - Slotermeer,Townhouse,Entire home/apt,2,2,2,2,Real Bed,0,30,1,4,100,strict_14_with_grace_period,0.29,100
N/A,FALSE,Centrum-West,Townhouse,Entire home/apt,4,2,2,2,Real Bed,0,64,2,5,100,flexible,0.36,209
within an hour,TRUE,Oud-Noord,House,Private room,1,1,1,1,Real Bed,0,20,1,84,95,flexible,5.69,40
N/A,FALSE,Gaasperdam - Driemond,House,Entire home/apt,4,1.5,4,4,Real Bed,0,75,1,3,100,moderate,0.25,180
within a few hours,TRUE,Oud-Noord,House,Entire home/apt,4,1,3,5,Real Bed,350,60,4,3,100,strict_14_with_grace_period,0.23,290
within a few hours,TRUE,Bos en Lommer,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,35,1,5,96,strict_14_with_grace_period,0.34,110
N/A,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,4,1,2,2,Real Bed,0,30,1,14,97,strict_14_with_grace_period,1,195
within an hour,TRUE,Centrum-Oost,Houseboat,Entire home/apt,4,1.5,3,3,Real Bed,500,50,1,2,100,strict_14_with_grace_period,0.22,220
within an hour,FALSE,IJburg - Zeeburgereiland,Townhouse,Entire home/apt,3,1,2,2,Real Bed,100,50,1,16,96,flexible,1.09,135
within a few hours,FALSE,Bos en Lommer,Apartment,Entire home/apt,4,1,2,2,Real Bed,0,50,2,19,99,moderate,1.38,199
N/A,TRUE,Centrum-West,Apartment,Entire home/apt,4,1,2,4,Real Bed,0,35,1,10,98,moderate,0.75,200
within an hour,FALSE,De Aker - Nieuw Sloten,Apartment,Entire home/apt,4,big,4,4,Real Bed,250,70,4,5,100,strict_14_with_grace_period,0.36,148
within an hour,FALSE,Oostelijk Havengebied - Indische Buurt,Apartment,Private room,2,1,1,1,Real Bed,150,0,1,11,100,flexible,0.74,130
N/A,FALSE,De Baarsjes - Oud-West,Townhouse,Entire home/apt,4,1,2,2,Real Bed,0,50,1,24,98,moderate,1.64,200
within an hour,TRUE,Westerpark,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,35,1,12,88,moderate,0.87,165
within an hour,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,0,0,1,12,100,moderate,0.85,180
N/A,FALSE,Westerpark,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,30,1,5,100,flexible,0.36,170
N/A,FALSE,IJburg - Zeeburgereiland,Townhouse,Entire home/apt,4,1,3,5,Real Bed,250,45,1,6,100,strict_14_with_grace_period,0.41,170
N/A,FALSE,Zuid,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,25,2,7,94,flexible,0.47,125
N/A,TRUE,Centrum-Oost,Guesthouse,Private room,2,1,1,1,Real Bed,0,0,1,7,91,strict_14_with_grace_period,0.47,90
within an hour,FALSE,De Baarsjes - Oud-West,Serviced apartment,Entire home/apt,2,1,1,1,Real Bed,0,55,1,30,97,moderate,2,155
N/A,TRUE,Oostelijk Havengebied - Indische Buurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,0,1,2,70,moderate,0.14,100
within an hour,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,30,1,7,97,moderate,0.49,97
within a few hours,FALSE,Buitenveldert - Zuidas,Boat,Private room,4,1,2,2,Real Bed,150,35,2,37,98,moderate,2.82,125
N/A,FALSE,Oud-Oost,Condominium,Entire home/apt,4,1,2,2,Real Bed,250,60,1,11,84,moderate,0.74,150
N/A,FALSE,Buitenveldert - Zuidas,Apartment,Entire home/apt,4,1.5,1,1,Real Bed,250,25,1,8,100,strict_14_with_grace_period,0.58,100
N/A,FALSE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,350,45,1,9,100,strict_14_with_grace_period,0.61,180
a few days or more,FALSE,Noord-Oost,Townhouse,Private room,2,1,1,1,Real Bed,0,0,1,3,100,strict_14_with_grace_period,0.22,70
N/A,FALSE,Oud-Oost,Apartment,Entire home/apt,4,1.5,3,3,Real Bed,0,75,2,3,100,moderate,0.23,170
within a few hours,FALSE,Westerpark,Apartment,Entire home/apt,2,1,1,2,Real Bed,500,30,1,17,98,moderate,1.23,134
within an hour,TRUE,Centrum-West,Townhouse,Private room,2,1,1,1,Real Bed,0,35,1,8,100,flexible,0.53,150
N/A,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,4,2,3,3,Real Bed,500,50,6,3,100,strict_14_with_grace_period,0.22,500
within an hour,FALSE,Zuid,Townhouse,Entire home/apt,6,1.5,3,4,Real Bed,0,120,1,4,100,flexible,0.37,295
N/A,FALSE,Bijlmer-Centrum,Apartment,Entire home/apt,4,1,2,3,Real Bed,0,0,1,3,87,flexible,0.23,175
within an hour,FALSE,Zuid,Apartment,Entire home/apt,4,1,3,3,Real Bed,250,80,1,5,100,moderate,0.34,165
N/A,FALSE,Westerpark,Apartment,Entire home/apt,2,1,1,1,Real Bed,150,40,1,9,96,moderate,0.62,100
within an hour,FALSE,Centrum-West,Bed and breakfast,Private room,4,1,2,2,Real Bed,250,80,1,2,80,moderate,0.52,250
N/A,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,4,1,2,2,Real Bed,0,55,1,2,100,flexible,0.14,250
within a day,FALSE,Centrum-Oost,Loft,Entire home/apt,4,1,3,3,Real Bed,0,50,2,8,100,moderate,0.57,275
N/A,FALSE,De Baarsjes - Oud-West,Loft,Entire home/apt,4,1,3,3,Real Bed,0,80,1,3,100,strict_14_with_grace_period,0.23,395
within an hour,FALSE,Buitenveldert - Zuidas,Apartment,Entire home/apt,4,1.5,3,6,Real Bed,0,75,1,8,98,strict_14_with_grace_period,0.59,250
within an hour,FALSE,IJburg - Zeeburgereiland,Apartment,Entire home/apt,4,1,0,2,Real Bed,100,30,2,12,95,moderate,0.81,80
within an hour,TRUE,IJburg - Zeeburgereiland,Villa,Entire home/apt,4,big,3,4,Real Bed,500,175,2,4,100,strict_14_with_grace_period,0.3,105
a few days or more,TRUE,Buitenveldert - Zuidas,Apartment,Entire home/apt,4,1,3,3,Real Bed,100,80,1,2,80,strict_14_with_grace_period,0.17,240
N/A,TRUE,Zuid,Apartment,Entire home/apt,4,1,2,2,Real Bed,0,75,1,8,98,flexible,0.57,185
within an hour,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,3,1,1,2,Real Bed,250,65,2,9,95,moderate,0.99,150
N/A,FALSE,Centrum-Oost,Apartment,Entire home/apt,4,1,2,2,Real Bed,0,20,2,1,100,flexible,0.07,400
within an hour,FALSE,Bos en Lommer,Apartment,Entire home/apt,3,1,1,1,Real Bed,0,40,2,14,100,moderate,0.98,175
N/A,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,250,45,1,4,95,strict_14_with_grace_period,0.47,130
within a day,FALSE,Slotervaart,House,Entire home/apt,4,2.5,5,5,Real Bed,0,0,1,6,100,moderate,0.41,185
within an hour,FALSE,IJburg - Zeeburgereiland,House,Private room,7,2,3,4,Real Bed,0,0,4,22,88,strict_14_with_grace_period,1.68,249
within an hour,FALSE,De Pijp - Rivierenbuurt,Bed and breakfast,Hotel room,4,1,2,2,Real Bed,150,75,1,18,88,strict_14_with_grace_period,1.4,349
N/A,FALSE,Centrum-West,Apartment,Private room,2,1,1,1,Real Bed,250,50,1,38,100,strict_14_with_grace_period,2.79,135
N/A,FALSE,Osdorp,Apartment,Entire home/apt,4,1,2,2,Real Bed,0,30,1,16,99,flexible,1.14,130
within an hour,FALSE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,4,3,2,2,Real Bed,0,99,1,1,100,strict_14_with_grace_period,0.07,250
within an hour,FALSE,Westerpark,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,0,32,1,9,100,strict_14_with_grace_period,0.62,120
within an hour,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,0,1,19,99,flexible,1.51,110
within a few hours,TRUE,Gaasperdam - Driemond,House,Entire home/apt,2,1,1,1,Real Bed,0,30,2,9,93,strict_14_with_grace_period,0.62,92
N/A,FALSE,Centrum-West,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,250,45,1,9,84,strict_14_with_grace_period,0.61,110
N/A,FALSE,Oud-Oost,House,Private room,2,1,0,1,Real Bed,0,0,1,14,97,flexible,0.94,120
within an hour,FALSE,Buitenveldert - Zuidas,Apartment,Entire home/apt,4,1.5,1,2,Real Bed,200,45,1,5,96,moderate,0.34,129
N/A,FALSE,Westerpark,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,45,2,15,83,strict_14_with_grace_period,1.02,120
within a few hours,FALSE,Oud-Oost,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,40,1,4,85,strict_14_with_grace_period,0.29,118
N/A,FALSE,Westerpark,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,0,50,1,1,80,flexible,0.07,150
within an hour,FALSE,Gaasperdam - Driemond,House,Entire home/apt,4,2,3,3,Real Bed,200,95,1,8,93,strict_14_with_grace_period,0.58,220
N/A,FALSE,Noord-West,Townhouse,Entire home/apt,4,1,3,3,Real Bed,0,0,1,6,93,flexible,0.44,80
N/A,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,350,25,1,3,100,strict_14_with_grace_period,0.24,102
within a day,FALSE,Noord-West,House,Entire home/apt,4,1,3,3,Real Bed,250,50,1,5,96,moderate,0.37,128
within an hour,FALSE,Zuid,Apartment,Entire home/apt,4,1,4,4,Real Bed,200,50,4,5,100,moderate,0.36,350
N/A,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,4,1.5,3,2,Real Bed,300,79,1,8,95,moderate,0.65,275
N/A,FALSE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1.5,3,3,Real Bed,250,60,2,2,90,strict_14_with_grace_period,0.14,135
within a day,TRUE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,4,2,2,5,Real Bed,0,60,2,12,100,strict_14_with_grace_period,0.88,150
N/A,TRUE,Oud-Oost,Apartment,Entire home/apt,4,1,3,3,Real Bed,250,15,1,6,93,strict_14_with_grace_period,0.43,180
N/A,FALSE,Centrum-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,35,1,2,80,flexible,0.15,200
within an hour,TRUE,Centrum-Oost,Apartment,Entire home/apt,4,1,2,2,Real Bed,240,40,2,6,100,moderate,0.43,224
N/A,FALSE,Noord-West,House,Entire home/apt,4,1.5,2,2,Real Bed,0,20,2,4,90,strict_14_with_grace_period,0.27,150
within a day,TRUE,Westerpark,Apartment,Entire home/apt,5,1.5,3,4,Real Bed,0,0,1,1,100,flexible,0.91,175
within an hour,FALSE,Noord-Oost,Guesthouse,Private room,4,1.5,2,2,Real Bed,200,0,2,13,97,flexible,0.92,120
N/A,FALSE,Oud-Oost,Apartment,Entire home/apt,2,1,0,1,Real Bed,0,20,1,1,80,flexible,0.07,135
N/A,FALSE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,200,30,1,11,100,flexible,0.73,140
within an hour,TRUE,Oud-Noord,Apartment,Private room,2,1,1,1,Real Bed,0,20,1,77,89,flexible,5.18,70
within an hour,FALSE,De Baarsjes - Oud-West,Apartment,Private room,2,1,1,1,Real Bed,90,10,1,60,90,moderate,4.04,79
within a day,TRUE,Bos en Lommer,Apartment,Entire home/apt,3,1,1,2,Real Bed,500,50,2,2,60,strict_14_with_grace_period,0.15,125
within an hour,FALSE,Centrum-West,Guest suite,Private room,3,1.5,1,1,Real Bed,0,42,2,50,96,strict_14_with_grace_period,3.47,125
within an hour,FALSE,Oostelijk Havengebied - Indische Buurt,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,300,69,1,4,95,moderate,0.28,160
within an hour,FALSE,De Baarsjes - Oud-West,Townhouse,Private room,2,1,1,1,Real Bed,90,10,1,60,88,moderate,4.15,69
N/A,FALSE,Centrum-West,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,250,45,2,11,96,strict_14_with_grace_period,0.76,150
within an hour,FALSE,Westerpark,Apartment,Entire home/apt,2,1,1,2,Real Bed,0,0,1,8,93,moderate,0.63,100
N/A,TRUE,Oud-Oost,Apartment,Entire home/apt,4,1,2,2,Real Bed,0,40,1,8,100,moderate,0.56,180
N/A,TRUE,Noord-West,House,Entire home/apt,6,2,4,6,Real Bed,0,50,1,4,100,moderate,0.3,175
within a day,FALSE,Bos en Lommer,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,15,2,9,100,strict_14_with_grace_period,0.76,99
within a few hours,FALSE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,8,2,5,5,Real Bed,0,120,1,3,100,moderate,0.22,800
within a few hours,TRUE,IJburg - Zeeburgereiland,House,Entire home/apt,5,1.5,3,3,Real Bed,250,250,1,10,98,moderate,0.72,180
within a few hours,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,0,1,15,99,moderate,1.04,130
N/A,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,3,1,1,1,Real Bed,0,0,1,14,96,moderate,0.96,120
N/A,FALSE,Bijlmer-Oost,House,Private room,2,1,1,1,Real Bed,0,0,1,1,80,flexible,0.09,60
within an hour,FALSE,Centrum-Oost,Condominium,Private room,2,1,1,1,Real Bed,100,12,1,33,100,moderate,2.7,79
within an hour,TRUE,Zuid,Apartment,Entire home/apt,4,2.5,2,2,Real Bed,0,30,1,4,100,flexible,0.28,175
N/A,FALSE,Westerpark,Apartment,Private room,2,1,1,1,Real Bed,0,0,1,16,93,moderate,1.09,63
within a few hours,FALSE,Centrum-West,Apartment,Entire home/apt,2,1,2,1,Real Bed,0,0,1,6,100,flexible,0.45,165
within an hour,FALSE,Oud-Oost,Apartment,Private room,2,1,1,1,Real Bed,0,20,1,11,89,moderate,0.89,94
N/A,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,50,2,4,95,strict_14_with_grace_period,0.29,100
within a day,FALSE,Oud-Noord,House,Entire home/apt,5,2,3,5,Real Bed,0,89,1,3,100,strict_14_with_grace_period,0.22,185
N/A,FALSE,Oud-Oost,Apartment,Entire home/apt,2,1,1,1,Real Bed,200,50,1,14,100,moderate,1,130
N/A,FALSE,Watergraafsmeer,Apartment,Entire home/apt,2,1,0,1,Real Bed,500,15,1,8,98,flexible,0.58,95
within an hour,TRUE,Oud-Noord,House,Entire home/apt,4,1.5,2,2,Real Bed,100,50,2,9,91,strict_14_with_grace_period,0.66,120
within a day,FALSE,Noord-West,Guesthouse,Entire home/apt,5,1,2,5,Real Bed,0,40,2,7,97,moderate,0.54,199
within an hour,FALSE,Oud-Oost,Apartment,Entire home/apt,3,1,1,1,Real Bed,0,45,2,20,94,strict_14_with_grace_period,1.53,125
N/A,FALSE,Oud-Oost,Apartment,Entire home/apt,4,1,2,3,Real Bed,0,0,1,1,100,flexible,0.08,225
within a day,FALSE,Slotervaart,Apartment,Entire home/apt,2,1,1,2,Real Bed,0,0,2,13,97,moderate,0.92,110
within an hour,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,4,1,2,3,Real Bed,100,45,1,7,100,strict_14_with_grace_period,0.5,175
within an hour,FALSE,Bos en Lommer,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,45,1,5,92,strict_14_with_grace_period,0.36,142
within an hour,FALSE,Buitenveldert - Zuidas,Apartment,Private room,2,1,1,1,Real Bed,100,35,2,72,97,strict_14_with_grace_period,4.88,80
within an hour,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,45,1,3,100,strict_14_with_grace_period,0.24,121
within an hour,FALSE,De Aker - Nieuw Sloten,Townhouse,Private room,2,1,1,1,Real Bed,0,15,1,96,96,moderate,6.52,67
within an hour,FALSE,Zuid,Apartment,Entire home/apt,4,1,2,2,Real Bed,100,50,1,4,90,strict_14_with_grace_period,0.28,170
within an hour,FALSE,Noord-West,Apartment,Private room,2,1,1,1,Real Bed,0,0,1,1,80,flexible,0.91,49
within a day,TRUE,IJburg - Zeeburgereiland,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,25,1,4,100,moderate,0.27,110
within an hour,TRUE,Oostelijk Havengebied - Indische Buurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,15,1,8,100,flexible,0.55,80
N/A,TRUE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,34,1,4,100,strict_14_with_grace_period,0.29,98
within a day,TRUE,Oostelijk Havengebied - Indische Buurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,25,1,6,100,strict_14_with_grace_period,0.49,119
within an hour,FALSE,Centrum-Oost,Apartment,Private room,3,1,1,1,Real Bed,0,39,2,66,95,flexible,4.5,139
N/A,FALSE,Oud-Noord,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,0,1,3,93,flexible,0.21,125
within a day,FALSE,Slotervaart,Condominium,Entire home/apt,2,1,0,1,Real Bed,200,50,1,2,60,moderate,0.97,46
within an hour,FALSE,Centrum-Oost,Apartment,Entire home/apt,4,1,2,2,Real Bed,500,89,1,20,93,moderate,1.37,385
N/A,FALSE,IJburg - Zeeburgereiland,House,Entire home/apt,4,1,3,3,Real Bed,250,80,1,6,100,moderate,0.45,180
within an hour,TRUE,Westerpark,Apartment,Entire home/apt,2,1,1,1,Real Bed,750,35,2,10,100,strict_14_with_grace_period,0.68,70
within a few hours,TRUE,Centrum-Oost,Apartment,Entire home/apt,2,1,1,1,Real Bed,400,0,2,7,77,moderate,0.48,98
within a few hours,FALSE,Oostelijk Havengebied - Indische Buurt,Boat,Private room,2,1,0,1,Real Bed,100,20,1,95,100,strict_14_with_grace_period,6.48,90
N/A,FALSE,Oud-Noord,Houseboat,Entire home/apt,2,1,1,1,Real Bed,250,55,1,1,100,strict_14_with_grace_period,0.09,150
N/A,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,150,40,1,6,97,moderate,0.45,155
within an hour,FALSE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,4,1.5,3,5,Real Bed,250,60,1,18,98,flexible,1.43,250
N/A,FALSE,Oostelijk Havengebied - Indische Buurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,300,59,1,3,93,moderate,0.21,150
N/A,FALSE,Centrum-Oost,Apartment,Private room,2,1,1,1,Real Bed,0,20,2,32,99,moderate,2.25,90
within a few hours,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,5,1,3,5,Real Bed,0,50,1,6,97,strict_14_with_grace_period,0.45,295
within an hour,FALSE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,0,1,8,98,flexible,0.73,159
N/A,FALSE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,4,1,1,2,Real Bed,100,50,2,14,90,flexible,0.97,149
within a few hours,TRUE,Centrum-West,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,0,95,2,5,100,moderate,0.43,450
within an hour,FALSE,Westerpark,Apartment,Entire home/apt,4,1,2,2,Real Bed,100,50,1,2,50,strict_14_with_grace_period,0.15,211
within an hour,FALSE,Westerpark,Apartment,Entire home/apt,2,1,1,1,Real Bed,300,59,1,1,100,moderate,0.07,150
N/A,FALSE,Zuid,Apartment,Private room,2,1,1,1,Real Bed,0,0,1,11,98,flexible,0.74,100
within a day,FALSE,Centrum-West,Apartment,Entire home/apt,4,1.5,1,2,Real Bed,0,20,2,1,100,strict_14_with_grace_period,0.07,200
N/A,TRUE,Centrum-West,Apartment,Private room,2,1,1,1,Real Bed,100,50,1,2,100,flexible,0.14,75
within an hour,FALSE,Geuzenveld - Slotermeer,House,Entire home/apt,4,1,2,3,Real Bed,500,50,1,1,100,strict_14_with_grace_period,0.31,119
N/A,FALSE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,3,1,2,2,Real Bed,300,69,2,2,80,moderate,0.14,175
N/A,FALSE,Watergraafsmeer,House,Entire home/apt,4,2,5,5,Real Bed,250,80,1,5,100,moderate,0.37,300
N/A,FALSE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,4,1,2,2,Real Bed,0,0,1,1,100,strict_14_with_grace_period,0.08,750
within an hour,FALSE,De Baarsjes - Oud-West,House,Entire home/apt,3,1,2,2,Real Bed,150,75,2,4,100,strict_14_with_grace_period,3.08,219
within an hour,TRUE,Oud-Noord,Apartment,Entire home/apt,2,1,0,2,Real Bed,0,35,1,14,99,moderate,1.22,130
N/A,FALSE,IJburg - Zeeburgereiland,Boat,Entire home/apt,big,2,3,big,Real Bed,500,100,big,2,100,strict_14_with_grace_period,0.23,500
a few days or more,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,25,1,10,100,flexible,0.71,155
N/A,TRUE,Oud-Oost,Loft,Entire home/apt,2,1,0,1,Real Bed,0,0,1,8,97,moderate,0.57,100
N/A,FALSE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,20,1,5,100,strict_14_with_grace_period,0.36,120
N/A,TRUE,Oud-Oost,Apartment,Entire home/apt,2,1,1,1,Real Bed,150,30,1,7,94,moderate,0.49,125
within an hour,FALSE,De Pijp - Rivierenbuurt,House,Entire home/apt,4,1.5,3,3,Real Bed,0,30,1,4,100,flexible,0.27,120
within an hour,TRUE,Watergraafsmeer,Townhouse,Entire home/apt,4,1.5,3,3,Real Bed,150,50,1,17,100,strict_14_with_grace_period,1.32,165
N/A,FALSE,De Pijp - Rivierenbuurt,House,Entire home/apt,4,1,3,4,Real Bed,200,0,1,4,95,flexible,0.3,200
